Installed,Installed
"Not Installed","Not Installed"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"We can't add this item to your shopping cart right now. Please reload the page.","We can't add this item to your shopping cart right now. Please reload the page."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"%1 has been added to your cart","%1 has been added to your cart"
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"You need to choose options for your item.","You need to choose options for your item."
"Continue shopping","Continue shopping"
Cancel,Cancel
"Set options","Set options"
"Add to cart","Add to cart"
"There is","There is"
" item"," item"
"There are","There are"
" items"," items"
"View Cart","View Cart"
" in your cart."," in your cart."
"Cart Subtotal:","Cart Subtotal:"
Information,Information
Continue,Continue
"Go to Checkout","Go to Checkout"
"We can't add this item to your shopping cart.","We can't add this item to your shopping cart."
"We can't find the quote item.","We can't find the quote item."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can't update the item right now.","We can't update the item right now."
"%1 has been added to your cart.","%1 has been added to your cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"in your cart","in your cart"
"More Choices:","More Choices:"
"You may be interested in the following items","You may be interested in the following items"
Center,Center
Top,Top
"Top Left","Top Left"
"Top Right","Top Right"
Left,Left
Right,Right
None,None
Related,Related
Cross-sell,Cross-sell
"Stay on Current Page","Stay on Current Page"
"Go to Category Page","Go to Category Page"
"Parent Configurable Product Image","Parent Configurable Product Image"
"Child Simple Product Image","Child Simple Product Image"
"Mini Product Page","Mini Product Page"
"Custom Options & Product Qty","Custom Options & Product Qty"
"Product Image","Product Image"
"Product Quantity Field","Product Quantity Field"
"Number of Products in Cart","Number of Products in Cart"
"Cart Subtotal","Cart Subtotal"
"Go to Checkout Button","Go to Checkout Button"
"Show Only if There Are Required Options","Show Only if There Are Required Options"
"Always Show All Custom Options","Always Show All Custom Options"
"has been added to your cart","has been added to your cart"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Please choose the options for your item","Please choose the options for your item"
Qty,Qty
Update,Update
Close,Close
"Ajax Shopping Cart","Ajax Shopping Cart"
General,General
"Enable Ajax Shopping Cart","Enable Ajax Shopping Cart"
"Enable Flying Image Effect","Enable Flying Image Effect"
"Set to ‘Yes' for a nice-looking visual effect. The product image 'flies' to the 'Top Cart' block in the top menu.","Set to ‘Yes' for a nice-looking visual effect. The product image 'flies' to the 'Top Cart' block in the top menu."
"Show the Product Qty Added to the Cart on the Product Listing","Show the Product Qty Added to the Cart on the Product Listing"
"Add Products to Compare with AJAX","Add Products to Compare with AJAX"
"Add Products to Wish List with AJAX","Add Products to Wish List with AJAX"
"Show a Mini Cart once Item is Added","Show a Mini Cart once Item is Added"
"Set 'Yes' to Show a Mini Cart instead of Confirmation Pop-up once an item is added to the cart.","Set 'Yes' to Show a Mini Cart instead of Confirmation Pop-up once an item is added to the cart."
"Dialog Pop-up","Dialog Pop-up"
"Redirect to the Product Page","Redirect to the Product Page"
"Display Custom Options","Display Custom Options"
"Customers can select configurable products and custom options right on the category page. If the 'Show Only If There Are Required Options' is enabled and a product has at least one required option, all custom options including the required ones are shown.","Customers can select configurable products and custom options right on the category page. If the 'Show Only If There Are Required Options' is enabled and a product has at least one required option, all custom options including the required ones are shown."
"Pop-up for Composite Products","Pop-up for Composite Products"
"Confirmation Pop-up","Confirmation Pop-up"
"Dialog Close Delay (in seconds)","Dialog Close Delay (in seconds)"
"Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically.","Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically."
"Enable a Confirmation Pop-up on a Product Page","Enable a Confirmation Pop-up on a Product Page"
"Continue Button Action on a Product Page","Continue Button Action on a Product Page"
"Choose whether the Continue button on a product view page should link to the category page or remain on the product page.","Choose whether the Continue button on a product view page should link to the category page or remain on the product page."
"Confirmation Pop-up Display","Confirmation Pop-up Display"
"Align Pop-up","Align Pop-up"
"Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right.","Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right."
"Image Display for Configurable Products","Image Display for Configurable Products"
"Choose to display a Parent Configurable Product Image or a Child Simple Product Image.","Choose to display a Parent Configurable Product Image or a Child Simple Product Image."
"Display in Pop-up","Display in Pop-up"
"Choose what to display in the Confirmation Pup-up","Choose what to display in the Confirmation Pup-up"
"Selling Options","Selling Options"
"Product Block Type Displayed in the Confirmation Pop-up","Product Block Type Displayed in the Confirmation Pop-up"
Title,Title
Subtitle,Subtitle
"Products Qty Limit","Products Qty Limit"
"If more than 2 then slider is activated","If more than 2 then slider is activated"
"Visual Options","Visual Options"
"Background Color","Background Color"
"Product Name Color","Product Name Color"
"Text Color","Text Color"
"Button Text Color","Button Text Color"
"Continue Button Color","Continue Button Color"
"View Cart Button Color","View Cart Button Color"
"Automatic Related Products","Automatic Related Products"
Status,Status
"Power it with the Automatic Related Products Extension. See more details <a target=""_blank"" href=""https://amasty.com/automatic-related-products-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=cart_mostviewed_m2"">here</a>.","Power it with the Automatic Related Products Extension. See more details <a target=""_blank"" href=""https://amasty.com/automatic-related-products-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=cart_mostviewed_m2"">here</a>."
