"Estimate Shipping and Tax","Estimate Delivery and VAT"
"Enter your destination to get a shipping estimate.","Hello"
"Enter your billing address to get a tax estimate.","Hello"
"Estimate Tax","Estimate VAT"
"Shipping","Delivery"
"Tax","VAT"
"Shipping Address","Delivery Address"
"Shipping Methods","Delivery Methods"
"Shipping Address:","Delivery Address:"
"Ship To:","Deliver To:"
"Shipping Method:","Delivery Method:"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"State/Province","County"
"Zip/Postal Code","Postal Code"
